term_id,eva_p_value
GO:0097435,3.5167734738078955e-5
GO:0043269,1.1312842142230197e-4
GO:0006812,2.8042862413837e-4
GO:0006816,5.603672910928225e-4
GO:0022610,5.629184482958794e-4
GO:0007155,6.295908979647123e-4
GO:0072507,8.353892658696293e-4
GO:0035725,0.0011913599287082168
GO:0009888,0.0012868759567795473
GO:0055074,0.0013188998874786556
GO:0051056,0.001490483024614706
GO:0072503,0.001560929910615669
GO:0051259,0.0015734981741427404
GO:1903008,0.0016917845147576777
GO:0050801,0.0019921026649387026
GO:0030001,0.0021743609815317523
GO:0006874,0.0022712731827638274
GO:0030003,0.0026253001523070542
GO:0018057,0.0027099247640566706
GO:0034765,0.0028943110814234844
GO:0098771,0.00322089742845417
GO:0034762,0.0036523649445774826
GO:0055080,0.0036593509339764812
GO:0051239,0.003964853017363346
GO:0016477,0.0051081179461832165
GO:0060401,0.00513588281217065
GO:0043087,0.00513588281217065
GO:2000113,0.005295546303026022
GO:0046578,0.005525903684384485
GO:0030097,0.005683203424126077
GO:0120031,0.005954719097902562
GO:0051049,0.006105704541631783
GO:0010626,0.006177367290409315
GO:0051480,0.0063093119146263536
GO:0098655,0.006591181621487218
GO:0009124,0.007671377398915871
GO:2001257,0.007671377398915871
GO:0033673,0.008259238181357884
GO:0030031,0.008998547156048853
GO:0051220,0.009083193850554718
GO:0014009,0.009145420812688147
GO:0007265,0.009798054510501522
GO:0031589,0.010852198253306826
GO:0055065,0.010852198253306826
GO:0006875,0.010852198253306826
GO:0034243,0.011287472527870126
GO:1905461,0.011825048897940369
GO:0034244,0.01199686622948867
GO:0061635,0.01199686622948867
GO:0006814,0.012411448803061133
GO:0009127,0.012411448803061133
GO:0002520,0.0135083433425323
GO:0015850,0.0135083433425323
GO:0072359,0.013611154752379739
GO:0009123,0.014040594993601354
GO:0055085,0.014495688580594631
GO:0030029,0.014548222652558746
GO:0048870,0.014794603053124218
GO:0051674,0.014794603053124218
GO:0009416,0.014991301066949599
GO:0032012,0.015012826154107949
GO:0032011,0.015012826154107949
GO:0010959,0.015243734474046826
GO:0043270,0.015353328038246896
GO:0032785,0.01616048984339456
GO:0006357,0.016458542222511384
GO:0007204,0.018770166457224315
GO:0010624,0.01886513014777726
GO:0048534,0.0190067085782705
GO:0006366,0.019280911502394752
GO:0009126,0.01931905366950818
GO:0051596,0.021376532969482758
GO:0098662,0.021376532969482758
GO:0061727,0.021376532969482758
GO:0086073,0.021376532969482758
GO:1905063,0.021580220724539443
GO:0051260,0.021580220724539443
GO:0043508,0.021580220724539443
GO:0006928,0.021580220724539443
GO:0098734,0.021580220724539443
GO:0051348,0.02392213881740868
GO:0032411,0.02415415655400532
GO:0010563,0.024838769445467902
GO:0060271,0.024838769445467902
GO:0045936,0.024838769445467902
GO:0022604,0.024838769445467902
GO:0010506,0.026147150219490493
GO:0044782,0.02675315966830122
GO:0055082,0.02675315966830122
GO:0075509,0.02785575189364839
GO:0035329,0.02785575189364839
GO:0040011,0.028002121647834454
GO:0060253,0.02818828887160406
GO:0035024,0.02827893566870799
GO:0000904,0.02853769892027436
GO:0030036,0.029629015021881918
GO:1904062,0.03166386023988676
GO:0032414,0.031971223910799276
GO:0031400,0.031971223910799276
GO:0035886,0.03445116529939383
GO:0009168,0.03445116529939383
GO:0032412,0.0353284787459383
GO:0099601,0.0363373669817534
GO:0090630,0.038243758617697785
GO:0051336,0.03887466002046049
GO:0002934,0.03887466002046049
GO:1905459,0.03887466002046049
GO:1905288,0.03887466002046049
GO:0014010,0.03887466002046049
GO:2000298,0.03928453095108549
GO:0099179,0.03928453095108549
GO:0097553,0.03928453095108549
GO:1904844,0.03928453095108549
GO:0035934,0.03928453095108549
GO:0086042,0.03928453095108549
GO:1901135,0.03971792049045873
GO:0090335,0.040052537629403036
GO:0042326,0.041837171743949
GO:0051924,0.04240087001976952
GO:0060429,0.04240087001976952
GO:0030099,0.04240087001976952
GO:0030155,0.043885895836140165
GO:0021543,0.04405620018302492
GO:0010811,0.04408368092182336
GO:0060402,0.04417469357501684
GO:0046329,0.04421366255912262
GO:1903146,0.047505483102455934
GO:0019637,0.04919440807211925
