term_id,evd_p_value
GO:0006259,1.7436559433023063e-5
GO:0051726,2.3553936378638158e-5
GO:0046907,4.019814709528802e-5
GO:0043085,1.2287089825911216e-4
GO:0045937,1.269414583470336e-4
GO:0010562,1.269414583470336e-4
GO:0032270,1.5542594136230028e-4
GO:0042327,1.5542594136230028e-4
GO:0051247,1.980679289379648e-4
GO:0045184,2.202203946975522e-4
GO:0071897,3.2413348643296216e-4
GO:0006915,4.833233615301863e-4
GO:0010564,4.8520983532872796e-4
GO:0009968,5.347270782037835e-4
GO:0012501,5.518961048298158e-4
GO:0015031,6.002547013568438e-4
GO:0045934,6.246952198789041e-4
GO:0071705,6.249989324532133e-4
GO:0007169,6.560367694430812e-4
GO:0001934,6.686337590177279e-4
GO:0032446,9.123615660482275e-4
GO:0006457,9.506027151812035e-4
GO:0018105,0.0010737224138450963
GO:0031401,0.0010737224138450963
GO:0016192,0.001107943164009877
GO:0018209,0.0011122796374843792
GO:0033674,0.0012629488292587258
GO:0140694,0.001268705532336719
GO:0033002,0.0014378474842213895
GO:0051092,0.001670651663059574
GO:0043393,0.0018858629370375266
GO:0051347,0.001893340357698589
GO:0008219,0.0020317515740861307
GO:0051091,0.0021633542201177267
GO:0045859,0.002311264773638606
GO:0009967,0.002725090407192741
GO:2000112,0.0028560311161265057
GO:0007099,0.0028802701889239497
GO:1902115,0.0028802701889239497
GO:1902117,0.003090339851399638
GO:0097191,0.0035465822820226612
GO:0030182,0.0036478002539988537
GO:0051253,0.004149869145376402
GO:0098534,0.004228848590851117
GO:0000165,0.004707960447296631
GO:0007017,0.004989141130141098
GO:0006278,0.005563455203245295
GO:0008283,0.006162686104375307
GO:0051298,0.006162686104375307
GO:0070647,0.006230783174223002
GO:0050890,0.007246586225793747
GO:1903829,0.00744608647618596
GO:0008333,0.007489697650741738
GO:0044770,0.008155790310897503
GO:0060249,0.008391416974444595
GO:0016567,0.008489695063370242
GO:2001234,0.009269802499335716
GO:2000116,0.00929754140746576
GO:1902533,0.00929754140746576
GO:0018205,0.009505347531250501
GO:0042981,0.009777285054775497
GO:0043113,0.0097876803491794
GO:0033365,0.010283343875474494
GO:0033234,0.010560583720559761
GO:0044772,0.011025582012674218
GO:2001236,0.011058919969415644
GO:0007004,0.011067259524766242
GO:0090068,0.011067259524766242
GO:0051640,0.011393850509177381
GO:0007005,0.012219192520988678
GO:0001701,0.012219192520988678
GO:0044703,0.012386354672476637
GO:0031346,0.012494896019211131
GO:0043067,0.01260064713024641
GO:0007167,0.012635805071295317
GO:0045860,0.01285822007597806
GO:0048584,0.01322652452169573
GO:0150146,0.014262781562193554
GO:0044085,0.01472453364401435
GO:0060292,0.014820645099955579
GO:0043410,0.01495808746672742
GO:0044843,0.01586719675147187
GO:0007611,0.01649104322981922
GO:0033044,0.016856217932553756
GO:0043408,0.017157826753644526
GO:0001505,0.017420964173672338
GO:0000082,0.019298519797063107
GO:0050808,0.019298519797063107
GO:0051098,0.02010132447010088
GO:0009896,0.02010132447010088
GO:0043154,0.020242510316268697
GO:0097190,0.020562385393422235
GO:0022603,0.020802539964023946
GO:2001237,0.02113357069294493
GO:0048284,0.021159999331634493
GO:0048666,0.021916206744271687
GO:0006836,0.022244925810295805
GO:0007420,0.022245314137851264
GO:0008625,0.022481134324320688
GO:0000723,0.023094621932721392
GO:0043281,0.02375505447894518
GO:0099003,0.02466191204272525
GO:0043506,0.02488702086815803
GO:1904951,0.02488702086815803
GO:1902041,0.02488702086815803
GO:0006950,0.025274957428603056
GO:0061061,0.026286749466885077
GO:0032200,0.026698290719209365
GO:0018401,0.02687651523411506
GO:0048660,0.02687651523411506
GO:0071495,0.02687651523411506
GO:2000278,0.02687651523411506
GO:0032989,0.02687651523411506
GO:0051090,0.027552611188919822
GO:0016925,0.02785358354224103
GO:2000117,0.02837027575507567
GO:0032886,0.02913173332044129
GO:0051953,0.02913173332044129
GO:0043254,0.02913173332044129
GO:0034504,0.02913173332044129
GO:2001252,0.02927379756019712
GO:0051603,0.030057649719195098
GO:2001233,0.030731496957655847
GO:0007276,0.031085679493090136
GO:0032990,0.031085679493090136
GO:0010638,0.031588237179810255
GO:0120035,0.032289600410348625
GO:0099504,0.032289600410348625
GO:0045862,0.032289600410348625
GO:1901700,0.032741753655844946
GO:0031344,0.033713894638510725
GO:0043069,0.03372039760085034
GO:0007098,0.03415634118922819
GO:0031331,0.034463336541484604
GO:0070918,0.0345549367953628
GO:0031050,0.0345549367953628
GO:0051938,0.034609716482609514
GO:0099171,0.034609716482609514
GO:0051962,0.03484028942062891
GO:0048659,0.035094251364627155
GO:0010833,0.03545142840146975
GO:0048812,0.0354975856968649
GO:0120039,0.03600428316651186
GO:0044257,0.03612356914189253
GO:0007283,0.03634617465353419
GO:0019919,0.03807416698389297
GO:0034975,0.03807416698389297
GO:0010941,0.039424695361859906
GO:0021696,0.0400440903341558
GO:0048858,0.040225226221443776
GO:0032465,0.04058823257620071
GO:0006511,0.04128657630338348
GO:0008284,0.04128657630338348
GO:0000910,0.04156431723187595
GO:0043066,0.04156431723187595
GO:0032204,0.04227660507292194
GO:0021587,0.04265669964441927
GO:0048232,0.04265669964441927
GO:1905114,0.04312482003949339
GO:0098657,0.04390774735254657
GO:0006835,0.04390774735254657
GO:0070050,0.04434763261907333
GO:0032501,0.04434763261907333
GO:0071900,0.04500372975612902
GO:1901652,0.045639752131562294
GO:0021537,0.045639752131562294
GO:0050805,0.045639752131562294
GO:0051052,0.04723769120818982
GO:0007417,0.04814895433540221
GO:0051302,0.04906219755811671
